Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029813;Nº Da Autorização/Licença Sisbio: 11399;13/02/2017;14/02/2017 a 14/02/2017;12/12/2012;Hypostomus strigaticeps;Cascudo-pintado;Hypostomus strigaticeps;species;2;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus strigaticeps;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029814;Nº Da Autorização/Licença Sisbio: 11399;20/03/2017;21/03/2017 a 21/03/2017;12/12/2012;Hypostomus hermanni;Sem Informações;Hypostomus hermanni;species;11;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus hermanni;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029815;Nº Da Autorização/Licença Sisbio: 11399;20/03/2017;21/03/2017 a 21/03/2017;12/12/2012;Hypostomus nigromaculatus;Cascudo;Hypostomus nigromaculatus;species;2;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus nigromaculatus;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029816;Nº Da Autorização/Licença Sisbio: 11399;20/03/2017;21/03/2017 a 21/03/2017;12/12/2012;Hypostomus paulinus;Cascudo;Hypostomus paulinus;species;1;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus paulinus;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029817;Nº Da Autorização/Licença Sisbio: 11399;20/03/2017;21/03/2017 a 21/03/2017;12/12/2012;Hypostomus strigaticeps;Cascudo-pintado;Hypostomus strigaticeps;species;3;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus strigaticeps;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029818;Nº Da Autorização/Licença Sisbio: 11399;20/03/2017;21/03/2017 a 21/03/2017;12/12/2012;Hypostomus ancistroides;Cascudo;Hypostomus ancistroides;species;4;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Hypostomus;Hypostomus ancistroides;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029819;Nº Da Autorização/Licença Sisbio: 11399;13/02/2017;14/02/2017 a 14/02/2017;12/12/2012;Proloricaria prolixa;Rapa-canoa;Proloricaria prolixa;species;2;Sem Informações;Chordata;Actinopterygii;Siluriformes;Loricariidae;Proloricaria;Proloricaria prolixa;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029820;Nº Da Autorização/Licença Sisbio: 11399;13/02/2017;14/02/2017 a 14/02/2017;12/12/2012;Apteronotus albifrons;Peixe-fantasma;Apteronotus albifrons;species;1;Sem Informações;Chordata;Actinopterygii;Gymnotiformes;Apteronotidae;Apteronotus;Apteronotus albifrons;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029821;Nº Da Autorização/Licença Sisbio: 11399;13/02/2017;14/02/2017 a 14/02/2017;12/12/2012;Gymnotiformes;Sem Informações;Gymnotiformes;order;1;Sem Informações;Chordata;Actinopterygii;Gymnotiformes;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Lucia Giuliano Caetano;1029822;Nº Da Autorização/Licença Sisbio: 11399;13/02/2017;14/02/2017 a 14/02/2017;12/12/2012;Apteronotidae;Sem Informações;Apteronotidae;family;1;Sem Informações;Chordata;Actinopterygii;Gymnotiformes;Apteronotidae;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ribeirão Três Bocas;Brasil;PR;Londrina;Espécie não Sensível;-23.385525;-51.076383;Coordenada aproximada;Sem Informações;Será destinado posteriormente
