Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R.F.S. Possete;RB00387081;448;05/05/2005;Sem Informações;30/10/2017;Mecardonia procumbens;Sem Informações;Mecardonia procumbens (Mill.) Small var. procumbens;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Scrophulariales;Scrophulariaceae;Mecardonia;Mecardonia procumbens;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R.F.S. Possete;RB00387229;135;25/01/2005;Sem Informações;30/10/2017;Scoparia dulcis;Sem Informações;Scoparia dulcis L.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Scrophulariales;Scrophulariaceae;Scoparia;Scoparia dulcis;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possete;RB00407046;504;20/06/2005;Sem Informações;30/10/2017;Vernonanthura puberula;Sem Informações;Vernonanthura puberula (Less.) H.Rob.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Vernonanthura;Vernonanthura puberula;Espécie não Ameaçada;Sem Informações;Projeto poleiros Embrapa 2005.;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R.F.S.Possette;RB00409524;431;17/04/2005;Sem Informações;30/10/2017;Mikania cordifolia;Sem Informações;Mikania cordifolia (L.f.) Willd.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Mikania;Mikania cordifolia;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possette;RB00419728;522;Sem Informações;Sem Informações;30/10/2017;Pyrostegia venusta;Sem Informações;Pyrostegia venusta (Ker Gawl.) Miers;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Scrophulariales;Bignoniaceae;Pyrostegia;Pyrostegia venusta;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possette;RB00419878;669;09/10/2005;Sem Informações;30/10/2017;Chaptalia nutans;Sem Informações;Chaptalia nutans (L.) Pol.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Chaptalia;Chaptalia nutans;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possette;RB00419880;399;15/09/2005;Sem Informações;30/10/2017;Mutisia coccinea;Sem Informações;Mutisia coccinea A.St.-Hil.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Mutisia;Mutisia coccinea;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R.F.S. Possette;RB00419886;676;26/09/2005;Sem Informações;30/10/2017;Cotula australis;Sem Informações;Cotula australis (Sieber ex Spreng) Hook;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Cotula;Cotula australis;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possette;RB00419888;593;04/01/2006;Sem Informações;30/10/2017;Baccharis leucocephala;Sem Informações;Baccharis leucocephala Dusén;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Baccharis;Baccharis leucocephala;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R.F.S. Possette;RB00419909;576;31/10/2005;Sem Informações;30/10/2017;Senecio brasiliensis;Sem Informações;Senecio brasiliensis (Spreng.) Less.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Senecio;Senecio brasiliensis;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;R. F. S. Possete;RB00419992;547;27/09/2005;Sem Informações;30/10/2017;Croton reitzii;Sem Informações;Croton reitzii L.B.Sm. & Downs;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Croton;Croton reitzii;Espécie não Ameaçada;Sem Informações;Sem Informações;Brasil;Paraná;Colombo;Espécie não Sensível;-25.2833333;-49.2166667;Sem Informações;Sem Informações;Sem Informações
