Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Santos, M.P.D. 2005. Avifauna do Estado de Roraima: Biogeografia e Conservação. Tese (doutorado em Zoologia). Universidade do Pará, 589p.;ARA-LIT-101310;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Mun. de Alto Alegre, Faz. Kennedy (02;Sem Informações;RR;Mucajai;Espécie não Sensível;2.6667;-61.2;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;ICMBio (Instituto Chico Mendes de Conservação da Biodiversidade). 2008. Plano de Manejo da Reserva Biológica União. 708p.;ARA-LIT-47821;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Sem Informações;Sem Informações;RJ;Rio das Ostras;Espécie não Sensível;-22.43;-42.035;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Roda, S.A. 2004. Lista preliminar das aves da usina Trapiche, Sirinhaém, Pernambuco. Relatório Técnico. Recife: Centro de Pesquisas Ambientais do Nordeste (CEPAN). 35p.;ARA-LIT-48096;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Usina Trapiche;Sem Informações;PE;Rio Formoso;Espécie não Sensível;-8.65;-35.166667;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;IBDF (Instituto Brasileiro de Desenvolvimento Florestal). 1979. Plano de Manejo do Parque Nacional Monte Pascoal. 159p.;ARA-LIT-48483;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Sem Informações;Sem Informações;BA;Porto Seguro;Espécie não Sensível;-16.88;-39.19;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Develey, P.F. 2010. Plano de Manejo do Parque Nacional do Descobrimento - Relatório Técnico do Diagnostico Temático do Grupo Avifauna. Biodiversitas. 37p.;ARA-LIT-48694;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;PARNA do Descobrimento;Sem Informações;BA;Prado;Espécie não Sensível;-17.07;-39.31;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Mestre, L.A.M, Thom, G., Cochranell, M.A., & Barlow, J. 2010. The birds of Reserva Extrativista Chico Mendes, South Acre, Brazil. Boletim do Museu Paraense Emílio Goeldi, Ciências Naturais, 5(3): 311-333.;ARA-LIT-47531;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;RESEX Chico Mendes;Sem Informações;AC;Rio Branco;Espécie não Sensível;-10.21666667;-68.73333333;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;ICMBio (Instituto Chico Mendes de Conservação da Biodiversidade). 2009. Plano de Manejo da Reserva Biológica do Tapirapé. Encarte 4. 180p.;ARA-LIT-64021;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Sem Informações;Sem Informações;PA;Maraba;Espécie não Sensível;-5.6752;-50.3025;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Anderson Saldanha Bueno;1036242;Nº Da Autorização/Licença Sisbio: 49068, Projeto: Impactos Ecológicos Da Usina Hidrelétrica De Balbina Em Assembleias De Aves Florestais;16/08/2016;17/08/2016 a 17/08/2016;15/04/2018;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Reserva Biológica Do Uatumã;Brasil;AM;Sem Informações;Espécie não Sensível;-1.7938;-59.26592;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Anderson Saldanha Bueno;1036390;Nº Da Autorização/Licença Sisbio: 49068, Projeto: Impactos Ecológicos Da Usina Hidrelétrica De Balbina Em Assembleias De Aves Florestais;11/09/2016;12/09/2016 a 12/09/2016;15/04/2018;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Reserva Biológica Do Uatumã;Brasil;AM;Sem Informações;Espécie não Sensível;-1.59677;-59.63355;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Anderson Saldanha Bueno;1036422;Nº Da Autorização/Licença Sisbio: 49068, Projeto: Impactos Ecológicos Da Usina Hidrelétrica De Balbina Em Assembleias De Aves Florestais;29/09/2016;30/09/2016 a 30/09/2016;15/04/2018;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Reserva Biológica Do Uatumã;Brasil;AM;Sem Informações;Espécie não Sensível;-1.77909;-59.51699;Coordenada de referência da área amostrada;Sem Informações;Solto/mantido na natureza
