,Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,lat,lon,Outras informacoes da localidade,Jurisdicao,"Destino do Material
"
0,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.A. Cid,RB00358420,4878,28/06/1984,Sem Informações,30/10/2017,Psychotria viridis,Sem Informações,Psychotria viridis Ruiz & Pav.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Psychotria,Psychotria viridis,Espécie não Ameaçada,Sem Informações,"BR 364, rodovia Cuiabá - Porto Velho, Km 378, Reserva Ecológica do CNPq-INPA.",Brasil,Rondônia,Ouro Preto do Oeste,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
1,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.A. Cid,RB00363960,4898,28/06/1984,Sem Informações,30/10/2017,Simira corumbensis,Sem Informações,Simira corumbensis (Standl.) Steyerm.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Simira,Simira corumbensis,Espécie não Ameaçada,Sem Informações,"BR 364, rodovia Cuiabá-porto Velho, km 378, Reserva Ecológica do CNPq-INPA.",Brasil,Rondônia,Ouro Preto do Oeste,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
2,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.A.Cid,RB00366926,4988,01/07/1984,Sem Informações,30/10/2017,Warszewiczia coccinea,Sem Informações,Warszewiczia coccinea (Vahl) Klotzsch,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,Warszewiczia,Warszewiczia coccinea,Espécie não Ameaçada,Sem Informações,"BR 364, rodovia Cuiabá-Porto Velho, km 423, linha 603 - Theobroma-Anari, km 48, varadouro para o garimpo chamado Serra sem Calça.",Brasil,Rondônia,Jaru,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
3,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.A. Cid,RB00386336,4905,29/06/1984,Sem Informações,30/10/2017,Talisia retusa,Sem Informações,Talisia retusa Cowan,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Talisia,Talisia retusa,Espécie não Ameaçada,Sem Informações,"Município de Ourto Preto, BR 364, estrada Cuiabá-Porto Velho, Km 353, linha 206, 48 km de Ji-Paraná. .",Brasil,Rondônia,Sem Informações,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
4,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G. Vieira,RB00410013,350,08/10/1979,Sem Informações,30/10/2017,Hebeclinium macrophyllum,Sem Informações,Hebeclinium macrophyllum var. rivale DC.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hebeclinium,Hebeclinium macrophyllum,Espécie não Ameaçada,Sem Informações,"T. F. de Rondônia, Mineração Taboca a 55 Km de Ariquemes, próximo a Massangana BR- 421.",Brasil,Sem Informações,Sem Informações,Espécie não Sensível,-10.25,-63.3333333,Sem Informações,Sem Informações,"Sem Informações
"
5,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,G. Vieira,RB00410026,387,10/10/1979,Sem Informações,30/10/2017,Cosmos caudatus,Sem Informações,Cosmos caudatus Kunth,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Cosmos,Cosmos caudatus,Espécie não Ameaçada,Sem Informações,"Planta da Amazônia, Mineração Taboa. Á margem da estrada.",Brasil,Sem Informações,Sem Informações,Espécie não Sensível,-10.25,-63.3333333,Sem Informações,Sem Informações,"Sem Informações
"
6,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C. A. Cid,RB00531444,5006,02/07/1984,Sem Informações,30/10/2017,Solanum leucocarpon,Sem Informações,Solanum leucocarpon Dunal,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum leucocarpon,Espécie não Ameaçada,Sem Informações,"BR 364, estrada Cuiabá-Porto Velho, km 428, linha 621, estrada da Pedra Branca, km 40.",Brasil,Rondônia,Jaru,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
7,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C. A. Cid,RB00531580,5010,02/07/1984,Sem Informações,30/10/2017,Solanum tenuisetosum,Sem Informações,Solanum tenuisetosum (Bitter) Bohs,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum tenuisetosum,Espécie não Ameaçada,Sem Informações,"BR-364, estrada Cuiabá-Porto Velho, KM 428, linha 621, estrada da Pedra Branca, KM 40.",Brasil,Rondônia,Jaru,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
8,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C.A. CID,RB00240019,5032,03/07/1984,Sem Informações,30/10/2017,Miconia eriocalyx,Sem Informações,Miconia eriocalyx Cogn.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,Miconia eriocalyx,Espécie não Ameaçada,Sem Informações,"BR-364, ESTRADA CUIABÁ-PORTO VELHO, KM 470, AO LONGO DA RODOVIA.",Brasil,Rondônia,Ariquemes,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
9,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,C .A .Cid,RB00170562,4923,29/06/1984,Sem Informações,30/10/2017,Inga semialata,Sem Informações,Inga marginata Willd.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Inga,Inga semialata,Espécie não Ameaçada,Sem Informações,"BR 364, estr. Cuiabá-Porto Velho, Km 353. Linha 206, 48km de Ji-Paraná.",Brasil,Minas Gerais,Ouro Preto,Espécie não Sensível,-10.1833333,-63.05,Sem Informações,Sem Informações,"Sem Informações
"
