Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95151;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Amazilia lactea;beija-flor-de-peito-azul;Amazilia lactea;species;1;Sem Informações;Chordata;Aves;Apodiformes;Trochilidae;Amazilia;Amazilia lactea;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95152;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Myospiza aurifrons;Cigarrinha-do-campo;Ammodramus aurifrons;species;1;Sem Informações;Chordata;Aves;Passeriformes;Emberizidae;Myospiza;Myospiza aurifrons;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95153;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anthracothorax nigricollis;beija-flor-de-veste-preta;Anthracothorax nigricollis;species;1;Sem Informações;Chordata;Aves;Apodiformes;Trochilidae;Anthracothorax;Anthracothorax nigricollis;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95154;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ara severus;Maracanã-guaçu;Ara severus;species;1;Sem Informações;Chordata;Aves;Psittaciformes;Psittacidae;Ara;Ara severus;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95156;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Aratinga weddellii;Periquito-de-cabeça-suja;Aratinga weddellii;species;1;Sem Informações;Chordata;Aves;Psittaciformes;Psittacidae;Aratinga;Aratinga weddellii;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95157;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardea alba;garça-branca-grande;Ardea alba;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea alba;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95158;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardea cocoi;garça-moura;Ardea cocoi;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea cocoi;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95159;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Atticora fasciata;Peitoril;Atticora fasciata;species;1;Sem Informações;Chordata;Aves;Passeriformes;Hirundinidae;Atticora;Atticora fasciata;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95161;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Accipiter striatus;gavião-miúdo;Accipiter striatus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Accipitridae;Accipiter;Accipiter striatus;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Guilherme, E. 2001. Comunidade de Aves do Campus e Parque Zoobotânico da Universidade Federal do Acre, Brasil. Tangara, 1(2): 57-73.;ARA-LIT-95162;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Hypocnemis peruviana;Cantador-sinaleiro;Hypocnemis peruviana;species;1;Sem Informações;Chordata;Aves;Passeriformes;Thamnophilidae;Hypocnemis;Hypocnemis peruviana;Espécie não Ameaçada;Sem Informações;Campus da UFAC;Sem Informações;AC;Rio Branco;Espécie não Sensível;-9.95;-67.95;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
